256 256
29	22	13	42	58	87	71	37	92	91	77	19	82	44	79	62	4	59	52	39	3	34	89	13	72	64	63	52	27	37	28	96	13	91	39	92	96	24	52	56	46	55	41	78	15	28	84	70	57	28	63	88	92	27	45	81	32	41	98	2	66	66	2	71	78	31	41	39	33	2	16	66	31	7	9	96	98	42	55	43	75	19	38	33	1	25	25	57	71	63	66	53	55	94	56	41	71	95	43	31	52	23	66	17	77	64	14	61	58	76	64	9	64	63	18	47	0	84	13	64	19	45	70	58	76	55	85	21	43	35	93	87	97	51	1	75	57	55	63	72	90	89	62	4	90	13	44	66	8	72	94	41	15	52	62	25	11	36	24	31	57	20	82	30	58	63	72	73	57	73	58	2	96	87	18	36	40	87	3	98	53	32	16	49	3	59	86	96	71	56	95	8	15	21	26	25	92	96	6	54	70	43	20	60	89	93	38	82	81	5	31	68	16	46	72	33	25	78	72	14	95	61	16	41	72	56	92	86	30	5	50	6	53	91	3	77	45	57	1	54	24	71	27	73	60	52	2	71	89	60	45	44	12	19	50	33
37	33	19	30	98	42	44	67	37	39	62	72	48	42	48	66	40	34	0	27	75	98	94	63	83	19	82	67	55	28	9	64	57	66	40	1	78	17	61	58	67	16	63	62	62	70	56	61	74	92	75	64	79	86	86	50	87	72	54	31	68	75	83	41	71	21	51	88	35	29	86	32	79	45	3	87	32	12	8	53	76	46	8	67	42	31	6	43	27	52	48	69	69	27	40	95	54	17	23	71	65	75	10	9	35	59	58	29	84	12	62	30	50	59	57	52	2	85	99	70	52	55	24	86	1	20	36	9	93	91	60	90	7	39	95	12	17	47	31	98	2	98	5	18	47	29	87	18	40	99	73	59	47	52	97	4	69	41	48	15	51	71	76	72	8	13	47	33	71	85	86	31	88	74	74	84	42	84	67	83	59	70	91	40	8	32	57	80	74	9	60	84	36	37	42	100	58	79	31	98	26	33	64	33	29	35	3	94	93	23	75	13	69	58	28	65	55	36	35	18	61	67	62	80	89	61	9	44	72	78	30	27	16	51	13	12	81	4	18	64	23	77	76	75	99	10	1	8	77	75	34	70	87	86	78	17
95	15	58	77	63	20	81	4	59	14	1	43	8	31	43	84	91	17	22	63	18	2	42	25	67	7	79	32	18	72	87	63	11	98	51	68	68	89	8	67	59	84	31	47	38	43	12	24	35	2	16	90	46	41	85	43	76	1	87	98	54	85	98	89	100	60	48	58	15	78	22	36	50	54	44	87	83	100	14	78	66	83	24	88	96	13	92	2	82	13	49	8	72	75	10	23	92	41	8	68	53	28	52	87	30	82	60	67	36	17	12	81	78	4	8	72	99	72	54	72	41	25	19	13	63	32	88	91	24	36	42	12	99	28	41	81	9	32	35	18	11	99	54	58	60	64	63	90	93	80	52	24	89	57	7	77	63	21	58	89	81	59	4	68	23	85	7	18	87	23	98	91	5	41	71	51	83	49	21	33	96	99	19	53	15	52	45	58	58	46	92	40	77	89	49	12	60	26	32	98	54	31	70	87	94	48	52	91	32	18	4	10	56	96	56	60	67	71	10	10	46	60	94	20	26	19	84	3	99	73	57	47	65	5	7	14	14	21	55	17	8	39	28	20	12	86	43	12	39	99	69	11	19	87	13	43
98	72	95	44	29	13	48	32	70	62	72	48	63	48	76	14	75	45	27	13	28	44	32	12	91	79	1	54	57	24	44	56	98	3	99	66	76	22	88	29	98	22	49	61	8	89	12	38	47	49	18	71	10	86	39	56	33	35	96	87	6	46	40	68	97	15	3	80	51	53	84	82	32	23	87	31	26	59	92	3	93	24	86	64	74	10	28	93	28	91	70	64	76	26	7	0	54	15	40	27	73	76	45	9	81	85	56	44	36	66	47	73	54	28	11	99	64	36	13	25	91	22	68	30	50	38	26	41	46	96	71	13	93	13	16	60	65	67	59	23	22	72	28	98	45	79	55	26	87	13	61	68	33	58	20	8	99	7	33	99	63	87	27	66	85	11	55	47	7	14	47	19	84	32	96	34	98	11	65	84	83	32	25	91	61	33	79	15	34	87	34	94	16	24	9	59	29	38	4	33	12	5	71	23	45	13	86	33	58	91	73	38	64	88	45	48	26	37	4	9	42	73	79	87	80	44	58	36	65	33	52	76	39	25	20	5	37	59	73	54	31	27	49	43	39	86	85	91	97	6	83	37	86	96	54	18
20	97	6	24	25	50	94	88	2	36	3	17	29	54	6	31	66	50	97	31	98	21	77	39	47	73	59	94	68	23	27	19	92	35	95	60	47	25	75	35	16	71	80	83	5	13	35	42	72	92	34	48	74	25	63	54	2	53	35	11	69	54	9	1	19	34	36	67	2	75	95	59	98	12	61	57	86	37	21	49	17	26	83	82	85	47	71	25	37	21	89	94	19	45	15	22	73	72	15	85	81	11	15	2	82	76	62	62	36	61	63	67	14	4	52	81	98	73	30	23	97	43	98	79	41	62	36	1	6	67	45	87	98	89	92	5	2	78	44	21	62	38	30	32	26	17	81	51	38	81	88	93	81	76	11	80	11	2	3	74	74	36	81	62	83	92	93	33	40	16	89	62	69	95	91	86	71	31	39	46	47	70	92	53	37	32	56	34	70	81	26	8	92	18	41	22	45	45	38	11	48	28	8	83	14	93	100	94	59	43	72	25	49	51	93	65	56	71	94	71	55	8	35	100	23	12	65	86	83	91	78	56	60	6	36	84	100	67	5	73	99	69	51	72	52	72	7	21	74	60	77	81	20	42	94	50
25	44	45	35	57	40	27	48	72	95	65	30	49	56	74	64	52	77	60	77	21	8	28	8	61	69	5	68	17	28	1	37	38	73	6	17	19	36	85	13	56	96	18	1	74	72	85	32	74	18	75	10	15	22	76	67	82	1	86	69	13	86	15	16	25	50	8	3	52	79	30	33	63	2	8	64	52	27	89	20	45	67	76	27	28	57	19	10	59	12	7	79	18	36	86	4	48	39	76	49	59	92	44	88	29	59	36	69	29	24	34	29	98	98	58	8	58	47	62	60	71	85	77	26	36	28	13	40	76	43	20	27	51	94	39	95	87	18	45	76	1	70	9	18	7	31	50	86	63	99	18	27	32	26	41	65	78	80	68	61	63	55	33	100	8	55	17	92	66	25	44	62	10	97	26	16	37	90	53	25	71	86	90	34	39	21	34	43	58	29	23	51	37	92	48	78	76	76	20	73	74	73	60	8	6	59	4	33	38	3	9	52	40	74	44	0	92	4	25	83	17	8	48	15	97	44	41	89	63	24	75	81	86	94	56	25	33	85	48	65	87	80	6	10	12	11	33	35	44	61	88	38	65	39	42	95
21	81	73	58	85	56	68	97	62	4	44	45	82	73	42	10	75	66	60	97	61	85	47	56	25	48	19	57	35	57	17	2	95	100	100	11	35	68	28	67	81	62	65	63	57	17	71	89	87	66	16	25	96	67	68	20	19	34	80	68	19	43	84	46	95	60	37	18	72	63	79	15	12	60	100	23	40	59	76	26	53	84	38	74	16	88	58	16	27	75	9	13	99	59	27	7	7	45	1	40	59	84	4	85	73	39	56	36	21	72	21	48	61	28	6	70	57	4	93	55	14	9	74	88	35	6	35	35	80	17	49	71	74	35	30	70	28	0	36	20	83	27	81	55	92	55	39	33	100	34	88	99	59	26	26	78	82	24	73	51	4	20	69	93	26	19	10	39	21	15	75	42	91	91	49	11	50	57	33	70	62	8	44	98	49	79	44	98	31	1	13	54	12	10	94	70	17	50	46	53	10	94	11	78	28	92	30	23	61	10	55	96	67	48	49	94	50	11	2	41	14	0	82	76	64	28	6	45	36	20	15	39	36	43	9	14	11	87	40	37	88	50	82	31	79	37	76	88	9	54	80	3	34	94	59	39
76	95	74	95	44	42	82	69	89	85	79	39	28	39	68	96	11	36	45	28	14	39	61	40	1	75	74	55	26	39	55	27	39	31	1	42	32	78	0	64	52	89	38	43	2	13	27	65	12	90	79	51	57	51	95	62	13	78	59	96	72	94	62	95	66	92	4	100	64	87	58	57	22	3	51	23	69	29	5	92	21	19	53	25	77	40	77	11	90	52	80	9	48	34	65	30	54	82	57	69	25	47	34	12	84	71	51	15	40	14	70	24	30	42	96	33	47	92	51	71	91	91	46	54	94	42	31	39	40	99	7	74	62	39	89	0	98	23	61	75	68	32	52	46	80	1	54	9	31	18	98	88	60	64	95	66	34	64	43	82	36	33	99	51	56	6	91	69	47	30	59	50	25	53	75	31	55	23	47	1	51	77	64	49	64	37	26	56	52	7	76	38	96	65	30	98	65	98	71	73	54	98	79	48	65	41	15	98	80	51	97	71	85	91	69	31	54	68	53	4	24	83	71	26	91	66	2	3	76	61	54	37	78	84	96	81	50	8	5	34	25	56	94	27	55	57	46	32	63	40	67	70	93	57	62	26
85	60	74	83	54	12	6	13	63	55	8	59	9	12	71	86	56	65	19	44	24	22	8	34	16	59	1	57	11	70	72	26	47	60	36	22	61	100	53	70	96	55	71	47	38	89	64	7	39	6	74	35	71	88	5	27	1	72	17	67	67	36	58	89	97	47	77	18	99	73	8	12	26	61	37	33	26	55	30	6	26	12	76	94	36	38	50	59	62	13	81	69	7	18	50	60	84	56	24	50	12	35	75	34	35	20	3	90	20	47	74	45	27	23	80	8	93	24	78	56	1	31	28	95	24	32	9	90	30	25	100	9	60	94	55	52	18	59	21	36	76	36	60	14	0	81	9	78	9	31	68	18	66	51	17	96	76	97	60	27	38	2	42	20	68	64	58	40	22	51	49	43	92	98	40	69	71	31	4	18	97	70	54	69	43	29	95	98	97	41	93	21	86	67	95	30	35	86	100	22	44	42	18	0	73	56	91	97	86	21	88	81	36	33	8	67	29	12	100	88	56	32	54	13	94	32	70	53	24	29	79	2	85	59	43	25	88	77	41	55	49	72	76	33	64	61	49	10	92	32	30	14	87	77	13	71
70	89	81	86	89	29	0	72	63	57	42	10	77	27	92	56	70	96	73	73	31	28	81	47	55	62	90	48	44	88	13	79	41	52	21	96	93	36	91	85	34	53	86	2	9	32	47	86	59	60	38	93	48	44	96	97	92	42	42	43	90	71	59	40	21	21	89	6	46	96	11	86	45	97	41	64	46	43	92	35	98	70	22	45	17	71	20	55	1	21	16	5	78	74	31	65	48	78	52	42	11	71	70	60	87	76	44	91	9	37	88	86	99	65	11	1	93	82	8	5	36	41	54	46	97	94	54	43	47	44	1	63	27	20	62	6	99	59	6	11	3	63	8	3	19	51	70	91	90	99	4	83	81	34	85	58	3	3	70	0	32	49	20	3	84	42	89	38	54	66	72	13	48	51	28	79	73	23	93	11	8	89	54	23	54	47	41	98	95	47	95	93	89	17	98	79	34	71	44	78	23	10	90	18	32	33	11	1	26	71	95	62	67	57	9	84	1	82	85	31	8	23	93	100	39	23	74	45	1	54	87	45	29	26	96	51	98	25	38	17	6	82	64	28	56	37	57	82	23	93	52	22	96	51	12	87
